k8	きい
s8	しい
t8	ちい
n8	にい
h8	ひい
m8	みい
y8	いい
r8	りい
w8	うぃい
g8	ぎい
z8	じい
d8	ぢい
b8	びい
p8	ぴい
ky8	きぃー
sy8	しぃー
ty8	ちぃー
ny8	にぃー
hy8	ひぃー
my8	みぃー
ry8	りぃー
gy8	ぎぃー
zy8	じぃー
dy8	ぢぃー
by8	びぃー
py8	ぴぃー
kg8	きぃー
ng8	にぃー
hg8	ひぃー
mg8	みぃー
pg8	ぴぃー
x8	しい
j8	じい
jy8	じぃー
jg8	じぃー
c8	ちい
tg8	てぃー
dc8	でぃー
f8	ふぃー
v8	ヴぃー
fy8	ふぃー
vy8	ヴぃー
ws8	うぃー

tgu	てゅ
tgh	てゅー
dcu	でゅ
dch	でゅー
dcy	どぅ
tgy	とぅ

br	ばら
bs	ばす
hr	はら
hs	はす
